,users_id,users_name,users_last_name,users_last_name_2,users_initial,users_years,users_gender,users_sector,users_ccaa,users_prov,users_prox,users_phone,users_mail,users_lang,users_lgtb,users_family,users_relig,users_politic,users_vegan,users_pets,users_smoke,users_env,users_range,users_budget,users_sqr_m,users_bath,users_outs,users_facil,users_drive,users_max_p,accion,activo,ajedrez,alegre,alternativa,amable,animales,antiguedades,apasionado,arte,artesanias,astrologia,astronomia,atento,aventura,aventurero,aves,badminton,bailarin,baile,baloncesto,beatboxing,beisbol,belico,bingo,biologia,blogging,blues,bolero,bolillo,bolos,bordado,boxeo,bricolage,buceo,calmado,cantante,canto,carpinteria,cartas,casino,caza,ceramica,cerveza,ciclismo,cienciaficcion,cine,cinefilo,clasica,cocina,colaborador,comedia,comics,comprador,conciertos,copla,corazon,correr,cosplay,costura,creativo,crimen,croche,crossfit,crucigramas,cultura,dardos,decidido,deportista,dibujo,disfraces,divertido,documental,drama,electronica,empatico,emprendedor,entustiasta,escritura,esqui,excursionismo,excursionista,familiar,fantasia,fiestero,filatelia,filologia,fisica,flamenco,flexible,folk,foodie,fotografia,fotografo,fronton,fumadores,futbol,gamer,ganchillo,gastronomia,generoso,gimnasio,golf,gospel,gracioso,hipica,historia,historica,hogar,honesto,iglesia,india,instrumental,instrumentos,jardineria,jazz,latina,libros,literatura,lounge,macrame,madrugador,magia,manualidades,matematicas,meditacion,mediterranea,mesa,metal,mexicana,misterio,moda,modelismo,montanismo,motociclismo,museos,musica,musical,natacion,negro,nocturno,numismatica,opera,optimista,ordenado,oriental,pachangueo,padel,pesca,petanca,pintura,piraguismo,playa,poesia,poker,politica,practico,proactivo,punk,puntocruz,quimica,rb,reciclaje,reggae,relajado,remo,reposteria,robotica,rock,rol,romantica,rompecabezas,saludable,sensato,sociable,socializar,soul,suspense,tarot,teatro,tecnologia,tejido,telenovelas,tenis,tenismesa,terror,trabajo,tratofacil,turismo,vegano,vegetariano,viajar,viajero,videojuegos,vino,vivo,voluntariado,western,yeye,yoga,zarzuela,zoologia
0,1,Helma,Bolnbach,,H. B.,72,mujer,enseñanza,Principado de Asturias,Asturias,misma provincia,+34638466054,helma_bolnbach@yahoo.co.uk,Deutsche,acepto,Grupo,no acepto,acepto,Vegetariano,acepto,acepto,costa,70-80,800,250,compartido,['piscina' 'terraza' 'jardin'],['gimnasio' 'piscina' 'spa' 'cocina'],True,<3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,3,3,4,0,5,0,2,3,0,0,3,0,5,0,2,0,4,3,0,0,5,0,0,0,5,0,0,5,0,0,3,0,0,0,0,2,0,0,1,1,0,0,0,0,4,1,0,0,0,4,3,0,0,0,3,0,0,0,2,0,0,0,0,5,0,4,0,0,0,1,0,1,0,2,0,0,0,3,3,1,0,3,0,0,2,0,5,0,1,0,0,0,0,0,0,2,0,0,0,2,5,3,0,0,3,4,1,5,0,0,0,2,0,5,0,1,4,0,0,5,0,0,5,5,1,0,0,0,0,5,5,0,5,2,0,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,4,1,0
1,2,Gabriel,Oliveira,Morais,G. O.,66,hombre,investigaciontecnica,Canarias,Santa Cruz de Tenerife,misma provincia,+34604175169,gabriel_oliveira@clix.pt,Português,acepto,Familia,no acepto,acepto,Común,acepto,no acepto,costa,50-60,700,150,compartido,['piscina' 'jardin' 'terraza'],"['barbacoa' 'garage' 'trastero' 'recreativos' 'lavanderia'
 'salamanualidades']",True,<6,0,1,0,0,0,0,0,0,0,3,5,0,0,0,5,0,3,5,3,0,3,0,0,0,0,1,0,3,5,4,0,0,0,5,1,2,0,0,0,0,0,0,3,0,0,2,0,4,0,0,5,0,0,0,3,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,5,0,0,5,0,0,0,0,0,1,1,0,4,4,1,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,4,0,0,0,0,4,0,0,5,0,2,0,0,2,0,0,2,0,0,0,0,3,2,0,0,0,0,0,3,0,2,1,0,5,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,2,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,1,0,0,0,0
2,3,Walburga,Oestrovsky,,W. O.,70,mujer,amacasa,Comunidad Foral de Navarra,Navarra,misma provincia,+34735971508,walburga_oestrovsky@libero.it,Deutsche,acepto,Familia,no acepto,acepto,Común,no acepto,acepto,costa,+80,1000,750,compartido,['jardin' 'terraza' 'piscina'],"['futbolin' 'recreativos' 'cocina' 'baloncesto' 'golf' 'buffet' 'salacine'
 'rehabilitacion' 'padel' 'barbacoa' 'tenis' 'gimnasio' 'zonasverdes'
 'cubierta' 'piscina' 'pingpong' 'trastero' 'spa' 'salamanualidades']",True,<3,0,0,0,0,0,4,3,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,2,4,0,0,5,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,4,3,5,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,4,0,3,0,4,0,2,0,0,0,0,0,0,5,0,0,0,5,3,0,3,0,0,0,0,0,0,3,0,2,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,4,0,0,3,0,1,0,0,0,1,0,2,0,0,1
3,4,David,Hernando,Bonet,D. H.,61,hombre,investigaciontecnica,Comunidad de Madrid,Madrid,todo el país,+34717042411,david_hernando@hotmail.com,Català,no acepto,Individual,no acepto,no acepto,Común,acepto,no acepto,costa,+80,600,300,compartido,['piscina' 'jardin'],"['huerto' 'spa' 'salamanualidades' 'cocina' 'trastero' 'garage' 'hipica'
 'baloncesto' 'lavavajillas' 'futbolin' 'pingpong' 'golf']",False,<6,0,5,3,0,0,0,2,0,0,0,0,3,2,5,0,0,5,0,0,0,3,0,1,2,0,0,0,0,4,3,5,3,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,5,0,4,0,0,5,1,2,2,0,5,0,5,2,0,0,3,2,0,0,0,0,5,4,0,4,0,0,0,0,0,0,3,2,2,0,0,0,0,4,2,0,1,5,2,0,0,2,0,5,1,0,0,0,5,2,5,4,1,0,0,0,3,5,3,0,0,4,3,0,0,4,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,0,5,2,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,5,0,3,3,0,1,0,0,0,2,2,5,2,4,0,0,0,0,3,2,3,0,0,1,0,0,0,0,0
4,5,Hassan,Wiek,,H. W.,71,hombre,enseñanza,Cantabria,Cantabria,misma provincia,+34720090136,hassan_wiek@hotmail.co.uk,Deutsche,no acepto,Familia,no acepto,no acepto,Vegano,acepto,acepto,interior,+80,600,600,privado,['terraza'],"['pingpong' 'cocina' 'baloncesto' 'spa' 'golf' 'recreativos' 'hipica'
 'salamanualidades' 'billar' 'padel' 'lavavajillas' 'futbol' 'barbacoa'
 'lavanderia' 'zonasverdes' 'garage' 'trastero' 'salacine' 'esqui']",True,<9,2,0,2,0,1,0,0,0,4,0,0,0,0,4,4,0,0,1,0,4,0,0,0,0,0,0,0,4,4,3,0,1,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,5,3,0,0,0,2,0,0,3,0,0,0,0,0,0,5,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,3,0,2,0,0,0,2,5,0,0,0,0,1,0,0,5,0,0,0,0,2,3,4,0,0,0,0,0,1
5,6,Marta,Marco,Barriga,M. M.,61,otro,otro,Aragón,Zaragoza,misma provincia,+34733049937,marta_marco@gmail.com,Català,no acepto,Individual,no acepto,no acepto,Común,no acepto,no acepto,interior,60-70,1500,600,privado,['jardin' 'piscina' 'terraza'],"['garage' 'zonasverdes' 'rehabilitacion' 'trastero' 'recreativos' 'huerto'
 'baloncesto' 'cocina' 'pingpong' 'gimnasio' 'esqui' 'hipica'
 'lavavajillas']",True,<9,0,4,5,0,5,1,5,3,0,0,0,1,0,0,5,0,2,0,3,5,0,1,5,0,4,0,0,4,0,4,0,0,3,0,2,0,0,2,1,0,0,0,0,0,5,0,1,0,0,0,4,5,3,1,0,4,3,0,0,0,5,0,0,0,1,0,2,0,3,5,0,0,0,1,0,3,3,0,0,0,0,3,4,4,0,0,1,0,0,0,0,0,0,1,0,5,4,3,0,0,0,3,4,2,0,0,2,0,2,0,5,2,2,5,2,1,0,2,2,0,0,3,0,1,4,2,5,0,4,0,5,0,0,0,0,0,5,5,4,4,2,4,1,0,0,0,0,0,2,4,3,1,3,3,0,3,0,5,0,0,4,0,0,0,0,0,3,5,0,0,0,0,0,0,3,4,0,0,1,4,3,0,0,3,1,2,0,1,5,0,4,0,1,5,2,0,0,0,5,2,5,0
6,7,Fabiola,Oliva,Vilanova,F. O.,73,mujer,enseñanza,Ciudad Autónoma de Melilla,Melilla,misma provincia,+34727689285,fabiola_oliva@gmail.com,Euskara,acepto,Grupo,acepto,no acepto,Común,no acepto,no acepto,interior,50-60,300,600,privado,['terraza' 'piscina'],"['recreativos' 'salamanualidades' 'lavanderia' 'garage' 'baloncesto'
 'huerto' 'lavavajillas']",True,<6,4,3,0,4,4,0,0,0,0,0,1,0,3,0,0,4,4,2,0,0,0,0,3,4,0,3,5,0,3,0,2,0,0,0,2,0,0,0,1,0,5,4,0,0,0,0,5,0,0,0,3,0,0,0,5,5,0,0,0,0,1,0,4,5,0,0,2,0,4,0,3,0,3,0,0,0,2,0,5,2,0,2,0,0,0,0,0,0,3,0,1,0,0,2,0,0,2,0,4,5,0,0,2,0,0,0,0,2,0,5,4,5,0,2,0,3,5,0,0,5,0,0,0,1,2,0,0,0,0,2,0,1,0,0,1,2,4,3,2,2,2,4,0,0,0,0,5,0,0,0,0,0,4,0,0,0,2,5,1,0,1,1,2,0,0,0,0,0,0,0,2,0,1,2,0,3,0,5,0,0,0,0,0,2,0,0,0,1,0,3,5,1,5,2,0,0,2,3,4,0,4,5
7,8,Paula,Zabala,Araujo,P. Z.,62,mujer,mantenimiento,Castilla y León,León,misma comunidad,+34701421889,paula_zabala@hotmail.de,Castellano,acepto,Familia,no acepto,no acepto,Común,acepto,acepto,interior,60-70,600,1000,privado,['terraza' 'jardin' 'piscina'],['garage' 'lavavajillas' 'recreativos' 'spa' 'salacine'],True,+10,1,4,0,0,5,3,0,3,0,1,0,0,2,0,0,4,3,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,3,2,0,0,0,1,0,0,2,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,1,0,0,1,0,0,0,5,3,2,5,0,0,1,2,0,3,0,0,0,0,5,1,1,5,0,1,0,0,0,0,0,4,3,0,1,0,2,5,4,0,5,0,0,1,5,1,0,3,0,0,4,0,1,0,1,3,0,5,3,2,1,2,0,0,0,4,0,4,3,0,0,5,0,0,0,0,0,1,1,0,1,0,5,0,2,0,0,0,0,0,0,0,5,0,2,4,0,0,0,0,1,1,0,3,0,1,0,5,1,0,0,5,4,0,0,0,2,0,0,1,3
8,9,Biel,Paz,Pujol,B. P.,75,hombre,otro,Islas Baleares,Islas Baleares,misma provincia,+34912705285,biel_paz@clix.pt,Català,no acepto,Familia,acepto,acepto,Común,no acepto,no acepto,interior,70-80,400,400,privado,['jardin'],"['cocina' 'rehabilitacion' 'trastero' 'salacine' 'lavanderia' 'billar'
 'huerto' 'padel' 'esqui' 'baloncesto' 'salamanualidades' 'tenis']",False,<3,0,0,0,3,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,5,0,5,0,0,4,0,0,0,0,0,4,1,0,0,0,4,0,5,0,0,4,0,0,3,0,4,0,1,4,0,0,0,0,3,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,5,0,0,5,4,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,5,0,0,0,0,0,1,0,3,4,5,0,3,0,0,0,0,0,4,1,3,0,3,2,5,0,1,0,4,0,0,0,4,2,0,0,0,5
9,10,Emma,Ramos,Lopes,E. R.,60,mujer,rh,Canarias,Santa Cruz de Tenerife,todo el país,+34748348433,emma_ramos@hotmail.com,Português,no acepto,Familia,acepto,no acepto,Común,no acepto,acepto,costa,60-70,800,50,privado,['jardin' 'terraza' 'piscina'],"['esqui' 'salacine' 'futbolin' 'lavanderia' 'cocina' 'barbacoa'
 'rehabilitacion' 'lavavajillas' 'garage' 'futbol' 'padel' 'huerto'
 'zonasverdes' 'billar' 'buffet' 'hipica' 'baloncesto' 'golf' 'piscina'
 'pingpong' 'tenis' 'recreativos']",True,<6,5,4,2,2,3,0,1,2,0,3,0,1,3,3,0,4,3,3,3,0,0,4,1,2,3,0,0,3,2,1,5,1,5,0,0,0,0,5,3,0,4,0,2,0,2,0,2,0,0,0,0,0,0,2,1,3,5,0,3,0,3,2,0,3,4,4,0,0,0,0,0,0,2,4,3,0,0,0,4,0,0,1,3,0,0,4,3,0,3,4,1,0,2,0,0,0,0,3,0,2,2,0,5,0,0,0,0,2,0,0,1,0,0,0,0,5,2,0,0,0,2,2,0,0,0,3,2,0,0,1,5,0,4,3,0,4,0,0,3,0,0,3,5,0,4,0,0,0,0,0,0,3,4,0,2,0,5,0,0,5,0,0,5,3,0,0,4,0,3,0,3,0,0,0,2,3,2,1,0,2,0,3,0,5,0,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,3,0
